"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29","PCo30","PCo31","PCo32","PCo33","PCo34","PCo35","PCo36"
"Ven",-0.0141122900785608,0.0037149088987655,-0.0010086752769068,0.000915163080773193,0.00187708332869789,-0.00211694518380095,-0.000609588798763346,0.00178543933282,0.00114804280748314,-0.00167911721942072,0.000828314293094677,0.00324005977108341,0.00164532141497027,-0.000539549732693021,-0.000297520787065131,0.000812362325498297,-0.00129419316782052,-0.00137399534409258,-0.00201188933892327,-0.000178005462715399,-0.00423169391397798,0.000381346352033146,-0.000241102450244418,-0.0016650838491102,0.00104521321115183,0.00028225075038428,0.000810418399324819,0.00118086911850642,-6.37604765928753e-05,0.0023080752981484,0.000619350327406753,0.00178258179517103,-0.00205051859479748,0.000780103798862327,0.000854391453083223,-0.000595805007486726
"Cor",-0.00544022807328233,0.00400461509538368,0.000561032344659339,0.0017695606199985,0.00145098704561892,-0.000602397848805462,-0.000387353658757105,0.000449637497142266,-0.000642008234444947,0.00247477497749843,0.00176850674763944,-0.0014036414162085,0.00114076627086167,0.00190124356564812,-0.0034407935442346,-0.000929888993106611,-0.00147140856311153,0.00147492572824454,0.0021600155048539,0.00147410925109642,-0.00130852032013159,-0.000324455262951732,-0.00104462976899809,0.0035213764867983,-4.37115109223336e-05,-0.00126383456196214,0.00117125901321467,-0.000879345034984378,0.00280010111604171,0.000476628961095831,0.00137309308175169,0.000973834873858171,0.000606863959468702,0.00156170181591833,-0.000110602045780533,0.000179401686442068
"Hoo",-0.00847461392293442,0.00249656038400599,-0.00043579691381854,0.000684870354448883,-0.000771893618072406,0.000358534352552163,0.00102293372116357,0.00119863333186011,0.00125758109230039,-0.000238073627104707,-0.000591771715873489,-0.00261899879497831,-0.0018310841253159,0.000908414231417101,-0.0010480165462409,-0.00203307975825125,-0.00225705941869091,-0.00488021138155705,-0.00149768380533229,-0.00210448761732407,0.000561655676136721,0.00346138757810658,-0.00185364227508476,0.00051069258347356,-0.000614152880398377,0.000801822823866742,-0.00174385787248642,0.000420376250302457,-7.35969840925973e-05,-0.00123629370154185,0.0010104907386362,0.00017138940928216,0.000523987238347976,-6.68967365299597e-05,0.000625778977609226,0.000130818128019672
"Idr",-0.00303522543514709,0.00680538759281561,0.000293826180066075,0.00026474202901386,-0.000239405246756217,-0.000934828428413144,0.000183686416936785,0.00131141753788105,0.00314977005042849,0.00131990118644146,0.00138886468253434,8.01546145979762e-05,0.00134534047706837,-0.00108919859200955,0.000508224186569888,0.00213759443188774,0.00113367973111309,-0.000913550204474784,-0.00015877260112003,-0.000712203855289321,0.00366994779861986,-0.00249022175994297,-0.000212148216281918,-0.00131585892389333,-0.00429264616682759,0.00035787749768169,0.000183817144799153,0.000235217459855662,0.000334150545247564,0.000703108487307856,0.00209819566331805,0.000215123836554451,-0.000682812619394298,0.000327724286118425,-0.000887372710400032,0.000128478663561783
"Vig",0.00357515204022077,0.00993891643811054,0.00117956658826187,-0.00256007728078729,0.00148498191920014,-0.00310534326798662,-8.37016470593438e-05,-0.00261555066178933,-0.0011772518699819,0.000548169917311314,-0.000857741501514213,-0.000254729085179784,-0.00125755942146648,3.30693946472162e-05,8.30736819477171e-05,-0.000844550403800109,-0.000494779636169459,-0.00102062438739348,0.000289641846434555,-4.05377633724782e-05,-0.000864647286229843,0.000528286978467721,-0.000557357824944058,-0.000228629391138349,0.00112370597703197,0.000205849105120914,0.000200078894791809,-0.00123628479896093,-0.00173579804755294,0.00138759296407774,-0.00126714618510804,-0.00172761391653016,-0.0019230034600369,0.000103245994124907,-0.00280182570891817,0.000889069063348197
"Sar",0.0545632169247335,0.00656382833387683,0.00798853890179169,-0.0016402741953812,-0.000601820443220574,-0.000419040793706431,-0.0002215744216495,0.000601990960235845,0.000565501828547197,0.000338887698525597,0.00028138487987316,5.77997168402593e-05,-3.17109771185054e-05,0.000134932356293069,-6.42072763849417e-05,-7.73154725926151e-05,1.66718334708945e-05,1.71403715353901e-05,-4.21436898940756e-05,7.59376915893041e-06,0.000104738384204521,-0.000164885818524988,0.00025874229947023,-0.000244930369905315,-3.44773726067338e-05,-0.00025589322922697,0.000155182703331649,-0.000133467860034008,-0.000354084151371546,0.00082806553430348,-0.000629960727814711,-6.1491677454289e-05,-0.000317122567972867,2.12741292185088e-06,0.00234215832298843,0.00167465303343822
"Laz",0.0499672177570714,0.0136732945980797,-0.00177658867947928,0.00529097775455383,0.00297820275147196,0.00108924389517536,0.000363293080473433,-1.1182358859171e-05,0.00130377661886337,0.000449129278297501,-9.44150738029625e-05,0.000162232942563106,0.000280975745008276,0.000216849047362368,3.33747577378997e-05,-0.000120408274805558,-0.000226316064317413,6.36078071729578e-05,0.000169042467487092,8.4529103781318e-05,2.77395644264993e-05,0.000134626247392343,0.000174484565463823,0.000267168641553424,8.55435653161394e-06,0.000187087337696487,-0.000274483271960554,-1.42531818809165e-05,0.000454105131950552,-0.000314571434317743,-0.00131481209031458,0.000465644793141979,0.000124602778389349,-0.00346338873945099,-0.00101775222346495,-0.000456141391761845
"Tar",0.0523334712350654,0.011840780083597,-0.00361960761987575,-0.00183704012766228,-0.00430285218618551,-0.000464938885693391,-0.00049354970835207,9.43108080164606e-05,-0.00147856846642402,-0.000636590736635063,-0.000161306784269773,-0.000184293446621723,-0.00027434366117937,-0.000320818932714811,-6.16828522831509e-05,0.000205162212468448,0.000231293162187679,-1.98829990275875e-05,-0.000116688993043878,-0.000108557465693559,-5.73606856866453e-05,4.98713664655811e-06,-0.000280770153898717,-0.000117446635072359,1.32454683050452e-05,-1.56615574860628e-05,0.000163309184102089,0.000125448288432789,-0.000127155339333442,-0.000284876721104187,0.00160475694525474,-0.000194614324550311,0.000516569136232754,0.00339901680297601,-0.000598889727880462,-0.000925326022845986
"Sky",0.0408985126067142,-0.0115851076058573,-0.000993591345617468,1.48182718723296e-05,0.00465361983853741,-0.000386865865049699,-0.000909074627980994,0.00247998925163779,-0.00309737815019822,-0.000688266160642381,-9.24760437959571e-05,-0.000513580619876104,-3.54685896787068e-05,-0.000289440851395027,-0.000162205211714097,0.000124766209224065,0.000484863558958347,4.20654019585207e-05,-0.00030980084681706,-0.000215256795906769,0.000179807900291643,-0.000146976460609374,1.95394697296148e-06,-0.000403505939742915,-0.000192965680720522,-0.000408295653973981,0.000633126702974584,0.00105464050349585,-6.38036032946255e-05,-0.00163007780706927,0.00269490921699416,-0.0038915885091644,-0.00114668405344035,-0.000304739309757572,0.000422600498095419,-0.000231444395951693
"The",0.0379026626133341,-0.0128666852326945,-0.00199137321579305,-0.000620086598986445,-0.000625492623892955,-0.0020536507196885,0.00427769074322045,0.00196415088743839,0.00230013648251261,0.00130936258189043,1.49238400030053e-05,0.000544332343912038,0.000752278697332835,0.000388852089519951,4.48700748024491e-05,-7.21942007718119e-05,-0.000435675304008528,2.06403041585782e-05,0.000295049946425613,0.000286247853588479,0.000117635387612615,-3.27793688256804e-05,0.000339995304563667,0.000206698857056185,0.0001971577175694,-6.85700235607148e-05,-0.000374473501840056,0.000243772096438584,0.000657401422179823,2.92291454788368e-05,-0.00471622315465051,-0.000848940097022341,0.000583659698413598,0.00136953394037641,4.39948811740163e-06,-0.000562008393229442
