"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29","PCo30","PCo31","PCo32","PCo33","PCo34","PCo35","PCo36"
"Hoo",-0.116399408808371,-0.0491801602183714,-0.0181008481462752,0.0200035928984159,-0.00144065175623395,-0.013316397485922,0.00507029617867825,-0.00191912520691993,0.0140895690209979,-0.0110054912918019,-0.00130837540869079,-0.0170054537062977,-0.0056223486826743,0.00782325612624026,0.00174362996232852,-0.00536482291725334,0.0115077147213905,0.00149248910096934,0.00301710340309243,0.00433834097047385,0.0102684995031373,-0.0302122863547067,-0.0110406208542453,-0.000253495911900199,0.00442436642897241,0.00944615272070598,0.000795120187573645,-0.0067213420727984,-0.00821557213738113,0.00324334961067268,-0.0149621934852855,-0.00201568225037544,-0.0106943707553369,-0.00277619564765398,-0.00266805383186025,-0.000826723562043344
"Idr",-0.101723605908524,-0.114255069018172,0.010863788643342,-0.00721096105859692,0.0149741813295136,-0.0153521902781967,0.0195968482464437,-0.0200840204409641,0.00769451055866619,0.000577615636869974,-0.00687426060602565,0.00177214313227432,-0.00212080643259235,0.001515627370953,0.00660991873628518,-0.000214611574776089,0.00714342898950175,0.00458244841656208,0.00257200790911677,-0.00664108272940293,0.00841394188549435,0.00988344751289799,0.0112157291172559,-0.00918409366135443,0.0163017469697708,0.0171220250328067,0.00354209129916983,-0.00109960358895345,0.00209868459114213,-0.00630775034726106,0.0124776374318748,0.0151056014476974,0.00557878864558831,0.00436966651032235,0.00644666349336848,-0.0034524673164696
"Iom",-0.0995288474202718,-0.070197287848858,-0.011685530319544,0.0200873633324365,-0.00408906408337214,-0.00305072098990878,-0.0105307597531099,-0.00174397356385393,-0.018867958734027,0.00905549696010498,-0.00402118600719932,0.0114950889135053,0.00933655406623766,-0.00469984460071516,-0.00262929866291876,0.00979143513457198,-0.014601469227282,0.00188327640233664,0.0159222426239285,-0.0265082356697976,-0.00178551929126909,-0.00338636825362647,0.0116047504854569,-0.0063382745561095,0.0133906554197973,0.00327916851126501,-0.00190510494460073,-0.00272029016010155,-0.00225703675105061,0.00502971515119092,-0.0024136159607448,-0.00956884293338757,-0.0144065244567517,-0.00278876559642533,-0.000509087108204611,-0.00238180458733011
"Ios",-0.00598807750710428,-0.0633511060546374,0.00124491608540092,0.0112713158859172,-0.00131115595583853,0.0149217995221834,-0.00245547836363198,-0.00183506669577097,0.00532281639431177,-0.00302234244163274,-0.0025990413137652,0.000633325621995111,-0.00234550948848013,-0.00165632725008368,-0.00163617505393957,-0.00189613193754687,0.0032833651308893,-0.00167467295726315,-0.0110833612217791,0.0117004923070777,0.00157710204022938,0.00552317944817776,0.00137419473117882,-0.00574285649742731,-0.013542248216498,0.00821469602682941,0.00777401972676938,0.00818556907590177,0.0191542334370483,-0.0105306096503512,0.0138188534441947,-0.0242182836680097,-0.00686154253256386,-0.00681901366083309,0.00375411566520904,-0.0049834805807891
"Jer",-0.173421283177804,-0.0373523897440582,-0.01166639005732,0.00208246549788668,-0.00026295654972972,-0.0107560525918759,0.0107636746359694,0.00230323209637873,-0.00170775713641179,0.000484159798115049,0.00607442682521788,0.0185283083429288,0.0207786570959559,-0.0149768278844943,0.00455577355793759,-0.000181390142803676,0.00495705825507544,0.00681649327877158,-0.0257500637796647,0.00472858712963327,-0.000343681286461468,0.0077408080340436,0.0110178739646998,0.0161847493295603,-0.0089961344138526,0.00881220764040393,0.00559645279737344,-0.00382032997501796,-0.00745791766934632,-0.00189815197705099,-0.0144730390343448,0.00368140772920494,-0.00370156221984312,-0.00381200420104808,-0.00438109962535004,0.00468581405442946
"Kav",-0.0919202750880653,0.153145393401907,-0.0167752129762427,0.000547682148916601,-0.00770473216082597,-0.00028407392982123,-0.00355579911881468,-0.0128484379995197,-0.0088379344859313,-0.0115448680389807,0.0261468370729497,0.00357953543178899,-0.00163864787713596,-0.000747116395121345,-0.024659440817752,-0.0110397860414413,-0.00418221140822201,-0.00855794073978211,0.00874081242591728,-0.000775535348304842,0.024946706002726,0.00726849808616268,-0.000191099047319414,0.00793230744050196,0.00067274320417391,-0.00164647054043393,0.00417280763956789,-0.00351401085299664,-0.00200511468079395,-0.0118604615646819,-0.00538653111225251,0.00204326806719321,0.00462501852383732,-0.00352838253135036,0.00346984334656976,-0.00331203020281027
"Kil",-0.191407931511767,-0.102143616248382,0.0177805219922636,-0.00552357663059307,-0.00360844103438243,0.0132354815269768,0.000261934873665602,-0.00514480375456798,-0.00553796294613485,0.0164148349612824,0.000311362568382474,0.014995110296334,0.0107616529398898,0.0229291487054472,0.00338087984662901,-0.0189182570530552,-0.012222865249251,-0.00403015086511558,-0.0152861821351249,0.00608592737813937,0.00753592751469701,-0.0206910154200527,-0.00456852426589125,-0.00123547879232251,0.0033558224182541,0.000243614705419042,-0.0122713896420773,0.00425782315831778,-0.0102585011303871,-0.00118133969315668,0.00912186011025271,0.000820729958104234,0.000390471018823956,-0.00196339015836749,0.00442810349772784,0.00115932754369283
"Laz",0.705231723541792,-0.126469342756463,-0.0562856009424576,-0.0203022771475402,-0.020391356487794,0.00688163461547411,0.00934204169164388,-0.0121923878160629,0.00681206816208743,-0.00263466654333691,0.00503665584239694,0.0060104147072038,-0.000919081803952737,-0.000928924211120518,0.00248347788869506,-0.00173854229833046,0.000133468831560624,-0.00114757639887979,0.000754583415042832,0.00406733827903551,-0.0103021790736995,0.00162501320799647,-0.00337489628718443,-0.0108329362920845,0.0132786434933921,-0.0069787945242071,0.0196087839834894,-0.00407625905920268,-0.00380530345538151,-0.0055186392032203,-0.00129997333598327,-0.00859820704567009,-0.00936322423338134,0.00460527669106796,-0.00267004753454186,0.0025885556261961
"Loo",-0.111731204583133,-0.0500438477216485,-0.0132701227345862,-0.0259596393637119,-0.00881835541850433,-0.00950355414287953,-0.00531682010890644,-0.0148010920591292,0.0022192680339914,-0.00922202361460295,0.00535724872154714,0.00560484139716213,0.00183599346419143,0.000412831227569938,0.00260316718767324,-0.00967976596601061,-0.00467355159011714,0.00285164561757622,0.0144815616316094,0.00575386754940388,-0.0103949395540204,0.0087680404436394,-0.0082587843012932,-0.0112370821616779,-0.0122245223168108,0.000628121065053702,-0.0129232459389017,0.0158745922466473,0.00323691417103225,0.0226232413867127,-0.00535202453926976,0.00550559947990487,0.00068616836663139,-0.0084704708912599,0.000810183238727256,0.00331224920565114
"Lyn",-0.159501715199312,-0.0633909524383765,0.00651976084148705,-0.0124620032802314,0.000121915878873604,-0.003632086539935,0.00135283506413802,0.0252134796143863,-0.0077231943657236,0.000656483681849175,0.00659994708903237,-0.0057747917243715,0.00591819430622321,0.0251446836564959,-0.00271455885295739,0.0209081190378412,0.00500089477110436,0.0049469483430913,-0.000614283090402572,-0.000930481195419417,0.0151226067284711,0.00829122671534314,-0.00241390798761347,-0.0156908634032989,-0.0042622894141887,-0.00363572422833395,0.0211444758594187,0.000277462708403372,-0.00537177288622964,0.00633858427422477,0.00238180504087914,0.00249119805943125,0.00240693521211318,-0.00749858082732925,0.000853974998350736,0.0036492368275698
