"","AEM1","AEM2","AEM3","AEM4","AEM5","AEM6","AEM7","AEM8","AEM9","AEM10","AEM11","AEM12","AEM13","AEM14","AEM15","AEM16","AEM17","AEM18","AEM19","AEM20","AEM21","AEM22","AEM23","AEM24","AEM25","AEM26","AEM27","AEM28","AEM29"
"Pem",-0.10075553966007,0.0789299623719039,-0.104813836598972,0.0475285851286565,0.0482917297842099,0.091502386080523,0.165425356348614,0.17363372182295,0.0601093703212924,-0.306464114534858,-0.128843005503989,-0.414198773804138,-0.145168075648546,0.0671639404288752,-0.0842512113672537,-0.289128725067631,-0.389372214931515,-0.159722496915847,-0.0156786031372067,-0.136708723154202,-0.0713704898522165,0.181470464440865,-0.0803502053570128,-0.295573497051111,0.291871606916427,0.108965351601086,-0.0602806892375638,-0.195254116660004,0.0346525627932211
"She",0.0849354030136462,-0.194061183583263,-0.10284980156867,0.567550459043054,0.193310231135655,0.252846399019096,0.184047915552657,-0.41450983980211,0.306173366270073,-0.13417731936056,0.0661142776541547,-0.187302361732612,0.219854114661548,-0.05457982652219,0.135396542973911,0.0566099046396388,0.203384353238143,0.0626822246583754,0.00569211905292372,0.0086940179052124,-0.106437467346655,-0.0250939993075554,0.0142133805274066,0.0318241472887853,-0.0203518188189634,-0.0021980227899819,-0.00989145947184594,-0.00641457762948853,0.000164614517024095
"Sbs",-0.129234234894529,-0.00726009273420572,0.144462370587489,0.107748233814838,-0.0543813551691493,0.0366298657254804,-0.0761775133264721,0.173418211062222,-0.0139049899716544,0.0610743026792141,0.0239165522846893,-0.26792762273954,-0.0142438118796652,0.043321399116372,-0.20013261274006,-0.179086477239021,-0.045290069694328,0.0639478428071503,-0.105983209451508,-0.208040518026572,0.0296776364763517,-0.599707679036263,0.475200221231795,0.210065276151642,-0.182753017319048,0.0279053235160239,0.0102170240087023,-0.0492878110172423,0.00313461036550045
"Sul",0.168609603783948,-0.362037490733105,-0.253903065859133,0.108952674771617,-0.00923288810928101,0.0116075655052092,-0.495366115618237,0.184339882452365,-0.0392164180665379,-0.40558528823111,0.325433337563094,0.171416624243055,-0.031741960485227,0.0345154944273361,-0.187465960661696,0.155604432071685,-0.225557188023153,0.126418138185888,0.0122825512377846,0.124825668027454,0.0737695131203638,0.0233409318439732,0.0203358196977715,-0.000819414224198172,-0.0152633302006226,0.00145183222881188,0.0121992065082271,-0.006658056973602,-0.00365060454191844
"Jer",-0.15257849435212,-0.0248696860972844,0.120839516442168,-0.0141760970160737,-0.0409901244353369,-0.000100601866883503,-0.00317166652351934,0.0478940677550889,-0.0390036476803525,0.0712647218604052,0.117326716496294,0.0355363912244712,0.103390691782311,-0.168363151964867,0.112018380557205,0.111707421271774,-0.0536878713455412,-0.180803442660136,0.0933080955123556,0.0973511279787765,-0.127536743998168,0.0110737689532823,0.0717254493781183,-0.0571212241839421,0.0572085006445854,-0.527021278931387,0.310347524087724,-0.504800990655168,-0.358677834658946
"Idr",-0.152921237544714,-0.0525145284733084,0.149803997311691,-0.0158584385302184,-0.0375728996358682,-0.0159858694001034,0.0280223681789171,0.0660858595708803,0.0331574921316221,-0.00701691677172945,0.0841284125462813,0.102884329129335,0.0491631364866294,-0.0155325391279958,0.168316958581814,-0.185447919079439,-0.054109322139653,0.0457065842111341,0.0166023802281112,0.175464332357088,-0.0444065783354457,0.0728336834369385,-0.0363911428799474,0.276285437954654,0.0800746023446902,0.0459605199224756,-0.424470523201055,-0.00861475456033664,-0.134561316805514
"Hel",-0.110153793723085,-0.167613441726974,0.175577710356848,-0.0677498541211057,-0.00394114831801319,-0.00377776120427309,0.0802190303386336,-0.278803399919152,-0.025004184019406,-0.0593364081117328,-0.284003712694321,0.172254949552097,-0.0476937925936697,0.128514570150396,-0.188877623875832,0.100019426097576,-0.149709177075842,0.228451598354196,0.596509289397945,-0.266912737059905,0.229241651133655,-0.0705182973997775,-0.0421099841408002,-0.124559590561696,-0.0414733533872968,-0.155818159641331,-0.162381937968363,-0.01029183532252,-2.52246694925511e-05
"Cor",-0.0780730049764507,0.290016227436165,-0.19927543368561,-0.0504705318314842,0.0579861600580721,-0.146499653432986,-0.232743634508561,-0.236897954644502,-0.00360702134440022,0.213792908431957,0.109913220569145,0.0617508661383349,0.291082744376561,0.280740758618311,-0.157751893010903,0.227494425088519,0.0442819320502725,-0.213227544122578,0.0673463082840268,-0.0447332846231173,-0.122437030793292,-0.00963987549290042,0.27276502674806,-0.063842305500824,0.445789082402461,0.154437540932164,-0.162588677127231,-0.0340004933734014,0.0259261621861091
"Hoo",-0.0539950070237529,0.225702738531533,-0.292079336788648,-0.00080187634303994,-0.0331787174632741,0.0332001215768664,0.175606087672209,-0.0310476649302444,0.100692374217096,0.145910305236997,0.048131730147186,-0.189792808578978,-0.228271636184403,-0.0530243042944153,-0.139341281344207,0.379822575834255,-0.318059008339983,-0.19436921292225,0.106301175347652,0.054410272046881,0.0487342096996857,0.175880444877162,-0.0430107167937821,0.441614536395966,-0.326071176645811,-0.0426190101339822,-0.0040456299748431,0.119692813021403,-0.018347950820327
"Kil",-0.0616065478465494,0.235101762413719,-0.214376895036905,-0.0289651818202823,0.0439465232991046,-0.0223231010774592,-0.058968508812669,0.0724554712859601,0.059654437848692,-0.208313891711432,-0.271800612074436,0.0206797556464218,-0.305806855245327,0.435383332068573,0.235186531119256,-0.0202940689632072,0.254599688936262,0.106727259717808,0.137246916361231,0.424160574385197,-0.178499727247905,-0.219689383192406,0.0116332931584921,-0.07673532574349,-0.11872482781647,-0.0921227482904487,0.0761172091039626,0.0128411422732131,-0.0318160419678851
