"","Brd","Cro","Eye","Heb","Iom","Ios","Loo","Lyn","Ork","Pad","Pem","She","Sbs","Sul","Jer","Idr","Hel","Ale","Sky","The","Tor","Cor","Hoo","Kil","Mul","Ven","Laz","Tar","Sar","Oos","Ber","Flo","Sin","Tro","Vig","Gul","Kav","Lys"
"Pem",0,0,0,0,0,0,0,0,0,0,0,1059.96477649514,617.361848235059,830.102615318611,484.932070243763,781.094495654045,1306.13917073331,5198.66550679463,4955.40777799556,5168.20820975932,5121.85907097,204.535567495263,122.49444806841,546.874571192904,643.301622113694,408.206634542251,3757.71180261811,3690.65715877347,3467.79390911976,921.549846622556,1415.70714516203,1636.23831102009,1791.99361737643,1757.39705192546,1097.6382789113,1766.54390227265,1774.4580693254,1771.48999728179
"She",0,0,0,0,0,0,0,0,0,0,0,0,1171.52297432709,310.436443179611,1383.1740701681,1836.19344485358,876.758586515582,6249.22840775389,6005.97067895481,6218.77111071858,6172.42197192925,1165.64846943971,1066.93447121421,969.835905728436,860.155034993965,1093.20004327983,4808.2747035774,4741.22005973277,4518.35681007906,1006.67175173906,380.048753643486,688.090733289219,843.846039645554,721.738660406921,2148.47658185628,827.939491443559,833.208482358624,831.945367813306
"Sbs",0,0,0,0,0,0,0,0,0,0,0,0,0,1231.97901607791,235.409606047282,808.12236655025,696.06035972637,5289.87448899016,5046.61676019109,5259.41719195485,5213.06805316553,686.855749932357,661.607689138317,972.761078974228,1069.18812989502,834.093142323574,3848.92078481364,3781.86614096901,3559.00289131529,311.471035615613,1224.46139591722,1077.06379433275,1214.26504904455,1665.13903948431,1188.54892843621,1156.4650912657,1164.37925831845,1161.41118627485
"Sul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.16885826676,1606.33128367705,1032.6805439424,6015.6684674079,5772.41073860882,5985.21117037259,5938.86203158327,935.786308263184,837.072310037677,709.317695981536,599.191364270697,832.681833532927,4574.7147632314,4507.66011938677,4284.79686973305,1091.85030112946,666.773222970438,921.69434656239,1077.44965291872,994.416870824703,1918.61442067975,1061.54310471673,1066.81209563179,1065.54898108648
"Jer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.50665874232,907.711455567383,5083.25878118223,4840.00105238315,5052.80148414692,5006.4523453576,554.425971941062,529.177911147022,840.331300982933,936.758351903723,701.663364332279,3642.30507700571,3575.25043316107,3352.38718350736,521.060856578892,1436.11249175823,1288.71489017376,1425.91614488556,1876.79013532532,981.933220628282,1368.11618710671,1376.03035415947,1373.06228211586
"Idr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482.08204385966,4899.54964121796,4656.29191241888,4869.09234418265,4822.74320539333,839.435690521638,825.340336557303,1095.7535439632,1192.18059488399,957.085607312547,3458.59593704144,3391.5412931968,3168.67804354308,1095.66685755718,2010.48308005051,1863.08547846603,2000.28673317784,2451.1607236176,798.224080664011,1942.48677539899,1950.40094245174,1947.43287040814
"Hel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5963.83416629954,5720.57643750047,5933.37686926423,5887.02773047491,1375.63307243061,1350.38501163657,1653.65133448603,1543.97046375156,1522.87046482183,4522.88046212304,4455.82581827841,4232.96256862469,416.747857635209,751.323314315095,480.823725345228,599.61569036746,1191.5581867332,1862.50860574562,541.815732588613,549.729899641365,546.761827597762
"Ale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.660314974929,286.962810266689,225.709851722621,5158.10651869487,5206.12867628387,5321.65748242781,5418.0845333486,5182.98954577716,1716.67295941579,1832.46865920981,1919.63642110324,5577.41897999709,6492.23520249041,6344.83760090594,6482.03885561774,6932.9128460575,4110.49489215772,6424.2388978389,6432.15306489165,6429.18499284805
"Sky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.476670828846,171.194834560721,4914.84878989579,4962.87094748479,5078.39975362873,5174.82680454952,4939.73181697808,1473.41523061672,1589.21093041073,1676.37869230417,5334.16125119801,6248.97747369133,6101.57987210686,6238.78112681866,6689.65511725842,3867.23716335863,6180.98116903981,6188.89533609256,6185.92726404896
"The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0002965262123,5127.64922165956,5175.67137924856,5291.2001853925,5387.62723631329,5152.53224874185,1686.21566238048,1802.0113621745,1889.17912406793,5546.96168296178,6461.7779054551,6314.38030387063,6451.58155858243,6902.45554902219,4080.0375951224,6393.78160080359,6401.69576785634,6398.72769581273
"Tor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081.30008287024,5129.32224045924,5244.85104660318,5341.27809752397,5106.18310995253,1639.86652359116,1755.66222338518,1842.82998527861,5500.61254417246,6415.42876666578,6268.03116508131,6405.23241979311,6856.10641023287,4033.68845633308,6347.43246201426,6355.34662906701,6352.37855702341
"Cor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7738056071172,344.675261094232,441.102312015022,206.007324443578,3717.15281451836,3650.09817067372,3427.23492102,991.043748319854,1521.3908381066,1741.92200396467,1893.83776174879,1863.08074487004,1057.70354747678,1836.03780396994,1843.9519710227,1840.98389897909
"Hoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.449066701349,539.876117622139,304.781130050696,3765.17497210735,3698.12032826272,3475.257078609,965.795687525814,1422.67683988109,1643.20800573916,1798.96331209549,1764.36674664453,1105.48510494755,1783.05676389351,1788.32575480856,1787.06264026324
